fecha,distrito,perros,gatos
2015,Carabanchel,18031,2397
2015,Centro,13505,3540
2015,Chamartin,13159,1860
2015,Chamberi,14176,1939
2015,Ciudad Lineal,17882,4192
2015,Fuencarral-El Pardo,18305,2819
2015,Hortaleza,16888,4927
2015,Latina,18529,2595
2015,Moncloa-Aravaca,12692,1578
2015,Moratalaz,6881,1173
2015,Puente De Vallecas,22765,2117
2015,Retiro,8883,1391
2015,Salamanca,13159,1860
2015,San Blas-Canillejas,13067,2188
2015,Tetuan,12502,2204
2015,Usera,11641,992
2015,Vicalvaro,4702,545
2015,Villa De Vallecas,7416,975
2015,Villaverde,11092,897
2014,Arganzuela,9595,1853
2014,Barajas,5233,659
2014,Carabanchel,17525,2360
2014,Centro,13285,3460
2014,Chamartin,12942,1793
2014,Chamberi,13869,1902
2014,Ciudad Lineal,17604,3042
2014,Fuencarral-El Pardo,18033,2790
2014,Hortaleza,16476,4761
2014,Latina,18106,2533
2014,Moncloa-Aravaca,12398,1548
2014,Moratalaz,6706,1153
2014,Puente De Vallecas,22072,2065
2014,Retiro,8774,1344
2014,Salamanca,12942,1793
2014,San Blas-Canillejas,12786,2043
2014,Tetuan,12301,2178
2014,Usera,11310,978
2014,Vicalvaro,4584,505
2014,Villa De Vallecas,7107,940
2014,Villaverde,10467,851
